Address,aave-mint,uni-v2-rai-eth,aave,rai-dai-uni-v3,Total
0x7a2103b377f02291ac22565ec0b8a85096e1c717,0.0,0.8926995951580063,0.0,0.0,0.892699595
0x39022d3441af8811efa96b4e02eb8d9e1a16abca,0.0,0.8917672158546209,0.0,0.0,0.891767216
0xbb67405f999f31d6ea181d1481859a9f889b4e57,0.0,0.8902979356118274,0.0,0.0,0.890297936
0x37830843a2eb2e636e2e6ac5503f1dbbcc9e8f51,0.0,0.8743311471166393,0.0,0.0,0.874331147
0x3d56de91f46c9a5e33f98a92cddb22118c770720,0.0,0.8697146817912387,0.0,0.0,0.869714682
0xa325853f58affb9810b1e0144f119741b5ca4b5a,0.0,0.8655478619201168,0.0,0.0,0.865547862
0xa1671a34c5066eef436d0eedfa96f78d6c0d9d4f,0.0,0.8588403091567897,0.0,0.0,0.858840309
0x662b7c11e20547026f2c10403958b81dd64e9a38,0.0,0.8570162535958568,0.0,0.0,0.857016254
0x730fac4c4ff284434ef81072341100bb02c2fa49,0.3479688245086034,0.4824642537927917,0.0,0.0,0.830433078
0x127be2424ecedcb9248c167ccc57c9c09b55fdf0,0.0,0.7107571054544832,0.0,0.0,0.710757105
0xb3f23740cd908e6d8aab746d7dd41c8765017dc8,0.0,0.6975779121166731,0.0,0.0,0.697577912
0xff3f8d57c190330338724b3696c3cb5839ce2e9c,0.0,0.6955972374615894,0.0,0.0,0.695597237
0x050cea859b5a93ac7bd4db4572fb7d90b7c63cac,0.0,0.6348493634620864,0.0,0.0,0.634849363
0x839d195bf635e222893c6516329235e904f8b3cf,0.0,0.6149437880089849,0.0,0.0,0.614943788
0x1201be09fe51ceedd730285f7c1ca8d4b5f5a519,0.0,0.5719958879511733,0.0,0.0,0.571995888
0x9d2dcc1b6a86fad7e73e784e0c50a1f1ee6b0d83,0.0,0.5289612960280171,0.0,0.0,0.528961296
0x3409b624bf7af290a9cb795103be5ce02e1cfdf1,0.0,0.5107521743591834,0.0,0.0,0.510752174
0xb7794a8a3d4c2945684346f0a3281209478a01e1,0.0,0.497282264451747,0.0,0.0,0.497282264
0x028b2b9adca1bd1263086b0b221713a684968817,0.0,0.0,0.4587554097138413,0.0,0.458755410
0x2517761dcce63ba3490f4644f26bc3053e90bd3a,0.0,0.4535828923626712,0.0,0.0,0.453582892
0x8d3f5041969b323824e144ade6375cbc5fb7bf57,0.0,0.4447023399811247,0.0,0.0,0.444702340
0xdc308f2d2f00889041e74b9c3d6e6b8ad57d81de,0.0,0.4432729494012833,0.0,0.0,0.443272949
0x299c437702b2ee9ad9dc27f95d294b4559462ef4,0.0,0.4375505245972477,0.0,0.0,0.437550525
0x2cf11d477f776d7fc96454ef399bed1f2d878b56,0.0,0.4324160766360509,0.0,0.0,0.432416077
0x2819c8a2eed2d61499a41ef6f8138e787f3f5500,0.0,0.4298349802788208,0.0,0.0,0.429834980
0x1ae3d567efa78eb59a24e05ec3391c701d5a17eb,0.0,0.4144145402743358,0.0,0.0,0.414414540
0x92fcd9564f273c5d8fac8870e0ea29e0550265c7,0.0,0.3959583038084919,0.0,0.0,0.395958304
0x9e2178376af13dbb3d939fa62a8d33bf74912e3d,0.0,0.3947565464213578,0.0,0.0,0.394756546
0x5af0c6ca4564bd94c7a49564f7c2d67d66ca891d,0.0,0.3845793730669782,0.0,0.0,0.384579373
