Address,Total
0xee160154b02a2e404c6c13ff0b28ed76010cf07d,2.760271096
0x4db6ec655eb2b5bc9dda13e0cfa6df0a301c5ba8,2.751814501
0xd9a94545515edb558c3d408a3c990cb4ee067d95,2.742168486
0x428da84e14b52e4a1cd0afe7150abe27d1aff8c5,2.682102257
0xae03a5d3e9ca46f48dfc85af9801b4b7da7871e1,2.459844570
0x402c65d9ea91c37eed5bd581710d8bce2f64c65c,2.451741448
0xdf0259238271427c469abc18a2cb3047d5c12466,2.435303660
0x71535aae1b6c0c51db317b54d5eee72d1ab843c1,2.405717928
0x23c3ca8d1aa9bd45c10a8696ea58b2f6a205bb20,2.312099906
0x0660e93da792d900bde54ca01c4a59aba09d1fc5,2.279272459
0x6ae1961c0fd0b5807d5ec64faacd0e335c5742cd,2.262329200
0xf58623a5d10864e409a3be9609e892bf9252b956,2.204265839
0x2c1ea8f94766117051490ebba7e5d6c2a11dd4dc,2.157635769
0xc4b0259cf0252eb3b3cf61f41e055e6db34f644c,2.132574257
0xe191468e32443fa79e8ae8164c0c0b319ea704a4,2.060125127
0xa91a3cc43fc23929fe879b853d4e6ae9568b8251,2.050121948
0x42dbf634c256acd17beddc1330488f1bea7b8bdf,2.014702501
0x5fdb500ba1d9b6be0c164ce609277cd968c5d45e,1.995950864
0xfcffac7ca0fe69461dd32cb1286bf31d2c818ff1,1.856759736
0x10feb6f3111197336bc64ad3d0a123f22719d58a,1.707133788
0xf539d59cb90a5f4f7354f9e290b68c462ffbc8c6,1.701716049
0xcd3cde8040627dbe6874fac9525bb24422e3f4d4,1.608554295
0xcb98b2c2c22fcacd12ebf92676172616bb37d43f,1.523423824
0x983848be568f9bbeaac4190ec3396c0e943b54de,1.518723526
0xf6853c77a2452576eae5af424975a101ffc47308,1.509171194
0x1c43d10c9fc37d8781e800a0aadece4f291bb872,1.451889891
0x94da628b4b562152d9a25a6926a64d55148b83c9,1.362854325
0x8dd77eaba64018dab36dcff7bf464f2f5027f044,1.358357029
0x7aa3551e9dc4cece16991179abf73f7bd091c41c,1.255601876
0xd585cbcb0a390c2a2fd6b887e835ee8cc362566c,1.245167235
0xe4fdaaca52548de38def312bc4cd749864810b0e,1.212660839
0x2cf11d477f776d7fc96454ef399bed1f2d878b56,1.187987556
0xd3e9af5b0c1fc2edd6a7907076cd9c79e67de6ac,1.186506897
0x3e893426e65cf198d4df266b77cfa46559c815ee,1.175872870
0xc92d60af8001b1070ce40337205af18a0bbed142,1.153476723
0x2b1d2d290268cb4c4862d4a658f1c2a663c0f79a,1.094165751
0xc0e5a550db6d9a4ff039255e8f9982aea28d177e,1.067139994
0xb4356181f698addb53f1e7e91108dc89c5e5bc77,1.065625325
0x3bd856465321ead1605286938493169e9c9011cf,1.036789562
0x8ce9ec296542ec95c0259572f1c8965c30cd7df0,1.017608926
0xb7d672703e7987715912a0784be91b27d1098c89,0.923845491
0xac470bff425c8854911093f89c80d6ac364dc126,0.912146765
0x5273611f2caadcda536495909ea87bd2bb9cb9f9,0.907701589
0x05c6959d997cde99d2f967367e5e9f1959ba9706,0.896058774
0x301605c95acbed7a1fd9c2c0deee964e2afbd0c3,0.868356270
0x182a15931cf7e4d02c667177aa454ec51b6c7a8a,0.851736353
0x521d155cee171dad885eae47a97a8c489c3c70c9,0.847285325
0x5d411d2cde10e138d68517c42be2808c90c22026,0.843149418
0xd2f96f8d1884cfd7f3e10611a86d9e932a235ed3,0.841452193
0x384f41754d31f42c8cdd9b3a190395050382eed6,0.833840835
0xdb9123dc5b366d5b6af249ff463d49f66d4d373a,0.814653918
0x4a0d5319665a5eb094f841af9ce0a34bd3879412,0.782115513
0x02dbd1aa375c7d00ecf1de198158ffa332110d47,0.769551304
0x31c6776dedb9c8f31c7423263e206322c6e130d6,0.765600539
0x19eb49678d1fa850761f620a7213f0d5daf330cc,0.762359272
0xfa63c00c1d03cb29cd3f9cae0e20138a6b978dcd,0.753790611
0x415fce36e2dc12421f20b93dbad1dd68bd2f6db6,0.730195951
0xc785b60bfdaceec0c106b6504dbe4575a520dc64,0.728598816
0x5785a2d3a1df2b01261d04876199c70b5973bd5a,0.707141241
0xa812202eca0a478b9aff492ec831adc3a8f388a4,0.654015092
0x3f59111df7d045b98fb22069738ef145208daeb5,0.651328332
0x43a167c2efdc7b137bea81d5a366d42a5d398b6c,0.610953019
0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,0.609352118
0x6630a2af9f49c14c6bedeac703eb56316bd0e950,0.609264831
0x2816affb6b2e646e2d9f2529c5affed6d13e0c0c,0.608217144
0x73849dd5790f29bdac8502760602e4360bb6bc1e,0.607635349
0xd2d749354338c06b1d163f2e4235a9f6160e5aca,0.605047449
0x040a0c8fd6c4c929648f1ca4aed3745ce3f1eaae,0.578003267
0x53a58592fe992efbe84c714c3ec287b85f467ecd,0.575609505
0xf7b18e107eb36797f4ce36de756630b9c30969ad,0.574876194
0xdf211065d33c6907aef314bd23d2f09a1ccd9615,0.570844847
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,0.536259541
0x81d80ae9d6670cd9ffd28812e2360535b1cec339,0.497563037
0x037ce225946fc6b419e768abc7e5f03356bb887b,0.492550334
0x432fcd67815d5cc72808a7815a02373fdee7d740,0.490408515
0xd7dedcf8ffddceed9ad20a41a5f88dc1268b3ad4,0.487448435
0xb7ec3afc8ea5e99686783839a63fb2c4cd58fae2,0.487424762
0x8da1dbeca9f637fd5ee5d44a017b2e54ed235255,0.487250121
0xf54eeeb761f18da84a0c8162484ed32b7d490716,0.487189932
0x2d4f248ff1e4eedfac4aa636a1e7271e44aee5c1,0.487080568
0x663fe011b7fb8fd76379815bf8d3176178e8a415,0.486988704
0xdd99fa1e4312146cf5029be7bdeb18c912f4f82b,0.486984248
0x1e8ee48d0621289297693fc98914da2efdce1477,0.486317345
0x778549eb292ac98a96a05e122967f22efa003707,0.486280762
0x34f0a12d402c12b23aa28d4f344bcc015b4fbe79,0.475912035
0xbf701bd8befb759da62c158f1391e5539f828adb,0.430228127
0xfd1935fd3c8f49723deb7296c58ba4bb1a0e48e1,0.427172043
